Date,종가
2008-02,-0.10761861881036584
2008-03,-0.027262255383529083
2008-04,0.10006166021561731
2008-05,0.09000791142215951
2008-06,-0.02397107762652548
2008-07,-0.10146842502842385
2008-08,-0.019192617715299457
2008-09,-0.05732953931200671
2008-10,0.01954168216233055
2008-11,-0.26115549649737035
2008-12,-0.164859340854332
2009-01,0.08909731518377974
2009-02,0.005203800354963784
2009-03,-0.0896344114889048
2009-04,0.20482069470572067
2009-05,0.16156515368693047
2009-06,0.05317767639574408
2009-07,0.0013302334417547427
2009-08,0.1341348145419359
2009-09,0.10981271989026532
2009-10,0.003900545601123704
2009-11,-0.02207428899485011
2009-12,-0.00947304553707183
2010-01,0.11671473448922802
2010-02,-0.06226031502643356
2010-03,0.013908597638846228
2010-04,0.044181559349980526
2010-05,0.056478060548111615
2010-06,0.014029285901718296
2010-07,0.037338588158887256
2010-08,0.07939472806758752
2010-09,-0.006367628356529805
2010-10,0.11761467821037783
2010-11,0.10128034022432882
2010-12,0.006454579539396274
2011-01,0.022644021633071748
2011-02,-0.03825316799773818
2011-03,-0.014895778340396008
2011-04,0.13837370507278857
2011-05,0.1349767700212334
2011-06,-0.011103299790062443
2011-07,0.023115405215072996
2011-08,0.01120172935615195
2011-09,-0.12795350835215566
2011-10,-0.03345054867713592
2011-11,0.06308577516504914
2011-12,-0.031924948446369714
2012-01,-0.04991628251038996
2012-02,0.024621034325575
2012-03,0.016313938559443474
2012-04,0.031948128963233575
2012-05,0.049871880287956145
2012-06,-0.08768210828074459
2012-07,-0.008692524088056276
2012-08,0.007209528745893637
2012-09,0.02711149470171588
2012-10,-0.0010779997325074675
2012-11,-0.11264766854680579
2012-12,0.047891837615684184
2013-01,-0.013691081552625679
2013-02,-0.02795766596085345
2013-03,0.0567252495154358
2013-04,-0.0021852733225638287
2013-05,-0.07742070476809783
2013-06,0.062069202708409564
2013-07,-0.012709253728957271
2013-08,0.02295809492002544
2013-09,0.023602502857593757
2013-10,0.03777297286684201
2013-11,0.005667274122864687
2013-12,0.0019517836595868518
2014-01,-0.07523658243362634
2014-02,0.02720653603065495
2014-03,0.03185412687069663
2014-04,0.022979629135137635
2014-05,-0.056822960222779544
2014-06,0.014690898872885804
2014-07,-0.005578963365401084
2014-08,0.06218388080059949
2014-09,-0.015457847760142722
2014-10,-0.0955952222063118
2014-11,-0.09102632364045093
2014-12,0.0451237972191175
2015-01,-0.04328543852235773
2015-02,0.0025236255750339456
2015-03,-0.023365680200630942
2015-04,0.0016296590124812648
2015-05,0.04601596711380826
2015-06,-0.0332638705271365
2015-07,-0.054738098873355234
2015-08,0.009258398338176863
2015-09,0.006189075238129192
2015-10,0.05884432867159601
2015-11,-0.013605576805534963
2015-12,-0.019568665548247877
2016-01,-0.05495189037322096
2016-02,0.0009714211094551682
2016-03,0.03795851252188657
2016-04,-0.029400536154379365
2016-05,0.003523595098874853
2016-06,-0.02392872973776357
2016-07,-0.017646077065436177
2016-08,-0.0026640721642366577
2016-09,0.006078033267785631
2016-10,0.03375143459638239
2016-11,-0.02130400360147218
2016-12,-0.0765693517495476
2017-01,0.046946873336795696
2017-02,-0.04886401659354612
2017-03,0.023267588585459607
2017-04,0.01869462995206334
2017-05,-0.015547019951648642
2017-06,0.09273676667350762
2017-07,-0.012787117225683781
2017-08,-0.04314115149442415
2017-09,-0.03922441469318362
2017-10,0.004826010889941222
2017-11,0.06317316802327111
2017-12,0.0067387390516427175
2018-01,-0.04078974433822485
2018-02,0.03496171396470997
2018-03,-0.0830541025096561
2018-04,0.027382265837042754
2018-05,0.01777233275544945
2018-06,-0.06547404766761498
2018-07,-0.07506882268251658
2018-08,0.037714874472886156
2018-09,-0.011265557126647178
2018-10,0.023380023888547596
2018-11,-0.17381580780807898
2018-12,0.03980462966669732
2019-01,-0.0024560554081567375
2019-02,0.11049730325794253
2019-03,-0.01596595600388337
2019-04,-0.005341056123180001
2019-05,0.07916844316631659
2019-06,-0.08633451824770375
2019-07,0.028382214021919698
2019-08,-0.04520066864991512
2019-09,-0.003179233655569764
2019-10,0.02079566104386798
2019-11,-0.013871473765407724
2019-12,-0.0031600214583419814
2020-01,0.00426694933704841
2020-02,-0.04458410571297233
2020-03,-0.09548066358290197
2020-04,-0.24720710220191955
