Date,거래량,종가
2008-01,11548.0,1000.0
2008-02,13564.0,897.97
2008-03,9948.0,873.82
2008-04,13964.0,965.78
2008-05,16690.0,1056.74
2008-06,14445.0,1031.71
2008-07,11848.0,932.16
2008-08,8587.0,914.44
2008-09,15700.0,863.49
2008-10,28483.0,880.53
2008-11,48149.0,678.15
2008-12,25947.0,575.08
2009-01,20461.0,628.67
2009-02,18892.0,631.95
2009-03,19261.0,577.77
2009-04,35410.0,709.1
2009-05,43259.0,833.44
2009-06,53655.0,878.96
2009-07,33586.0,880.13
2009-08,34387.0,1006.47
2009-09,31550.0,1123.29
2009-10,35672.0,1127.68
2009-11,25694.0,1103.06
2009-12,22466.0,1092.66
2010-01,16909.0,1227.93
2010-02,21369.0,1153.81
2010-03,16011.0,1169.97
2010-04,18132.0,1222.82
2010-05,13112.0,1293.87
2010-06,15253.0,1312.15
2010-07,14570.0,1362.07
2010-08,13823.0,1474.62
2010-09,15371.0,1465.26
2010-10,15184.0,1648.14
2010-11,18353.0,1823.81
2010-12,10890.0,1835.62
2011-01,14448.0,1877.66
2011-02,14640.0,1807.19
2011-03,10808.0,1780.47
2011-04,13500.0,2044.7
2011-05,16310.0,2340.18
2011-06,14789.0,2314.34
2011-07,13666.0,2368.46
2011-08,16370.0,2395.14
2011-09,20009.0,2107.47
2011-10,19391.0,2038.14
2011-11,16730.0,2170.86
2011-12,18751.0,2102.65
2012-01,6438.0,2000.27
2012-02,21388.0,2050.13
2012-03,14100.0,2083.85
2012-04,9600.0,2151.5
2012-05,15049.0,2261.52
2012-06,8981.0,2071.67
2012-07,8558.0,2053.74
2012-08,11048.0,2068.6
2012-09,8040.0,2125.45
2012-10,11253.0,2123.16
2012-11,16444.0,1896.97
2012-12,9353.0,1990.03
2013-01,8638.0,1962.97
2013-02,9984.0,1908.85
2013-03,9610.0,2020.26
2013-04,8043.0,2015.85
2013-05,8599.0,1865.67
2013-06,9418.0,1985.14
2013-07,8799.0,1960.07
2013-08,7933.0,2005.59
2013-09,8422.0,2053.49
2013-10,10600.0,2132.54
2013-11,7656.0,2144.66
2013-12,9421.0,2148.85
2014-01,10255.0,1993.11
2014-02,8984.0,2048.08
2014-03,8181.0,2114.37
2014-04,9438.0,2163.52
2014-05,8785.0,2044.01
2014-06,7529.0,2074.26
2014-07,7591.0,2062.72
2014-08,9304.0,2195.06
2014-09,7805.0,2161.39
2014-10,9458.0,1964.34
2014-11,12534.0,1793.43
2014-12,8469.0,1876.21
2015-01,6673.0,1796.73
2015-02,9460.0,1801.27
2015-03,9278.0,1759.67
2015-04,10546.0,1762.54
2015-05,10111.0,1845.54
2015-06,12637.0,1785.16
2015-07,11825.0,1690.07
2015-08,13052.0,1705.79
2015-09,9887.0,1716.38
2015-10,10531.0,1820.41
2015-11,9434.0,1795.81
2015-12,8502.0,1761.01
2016-01,7732.0,1666.85
2016-02,10163.0,1668.47
2016-03,13292.0,1733.02
2016-04,11523.0,1682.81
2016-05,9310.0,1688.75
2016-06,8379.0,1648.82
2016-07,7209.0,1619.98
2016-08,8387.0,1615.67
2016-09,7275.0,1625.52
2016-10,8480.0,1681.32
2016-11,8085.0,1645.88
2016-12,7699.0,1524.56
2017-01,5423.0,1597.84
2017-02,9853.0,1521.64
2017-03,11992.0,1557.46
2017-04,8020.0,1586.85
2017-05,8852.0,1562.37
2017-06,9638.0,1714.19
2017-07,7894.0,1692.41
2017-08,8653.0,1620.95
2017-09,10002.0,1558.6
2017-10,13697.0,1566.14
2017-11,11662.0,1668.27
2017-12,9227.0,1679.55
2018-01,10582.0,1612.42
2018-02,15941.0,1669.79
2018-03,18173.0,1536.71
2018-04,11512.0,1579.37
2018-05,13407.0,1607.69
2018-06,11956.0,1505.8
2018-07,7650.0,1396.9
2018-08,7838.0,1450.59
2018-09,5613.0,1434.34
2018-10,9643.0,1468.27
2018-11,10111.0,1234.01
2018-12,8864.0,1284.12
2019-01,6517.0,1280.97
2019-02,10849.0,1430.63
2019-03,10580.0,1407.97
2019-04,6502.0,1400.47
2019-05,8673.0,1515.85
2019-06,8601.0,1390.47
2019-07,6743.0,1430.5
2019-08,8960.0,1367.28
2019-09,5444.0,1362.94
2019-10,6777.0,1391.58
2019-11,7364.0,1372.41
2019-12,6113.0,1368.08
2020-01,7682.0,1373.93
2020-02,12821.0,1314.02
2020-03,13272.0,1194.36
2020-04,18456.0,932.77
2020-05,16101.0,1047.71
2020-06,16218.0,1156.36
2020-07,16605.0,1118.17
2020-08,18767.0,1213.42
2020-09,17057.0,1424.68
2020-10,17711.0,1468.87
2020-11,10143.0,1418.12
2020-12,19173.0,1562.35
2021-01,33469.0,1731.68
2021-02,23659.0,1960.99
2021-03,28259.0,1883.22
2021-04,12446.0,1869.78
2021-05,18563.0,1843.21
2021-06,15223.0,1993.78
2021-07,13950.0,2022.76
2021-08,7923.0,1903.47
2021-09,10840.0,1879.97
2021-10,10141.0,1722.25
2021-11,10029.0,1780.74
2021-12,15188.0,1641.23
2022-01,5761.0,1740.03
2022-02,9036.0,1601.52
2022-03,9879.0,1537.13
2022-04,8824.0,1561.68
2022-05,6718.0,1609.62
2022-06,8412.0,1619.7
2022-07,8630.0,1479.7
2022-08,6406.0,1576.96
2022-09,8720.0,1552.16
2022-10,8932.0,1433.22
2022-11,6794.0,1392.69
2022-12,8411.0,1435.74
2023-01,10487.0,1343.91
2023-02,9732.0,1439.49
2023-03,14870.0,1488.62
2023-04,9171.0,1487.66
